user,timestamp,leaflet_id,imagefile,feature_type,radius,geometry,species,Size_class,veg_layer,dd1,dd2,dd3,plot,plot_name_new,frame
Scorer_2,##------ Thu Jun  8 14:55:25 2023 ------##,pin_64,20220807_153842_GS010327_Frame_000610_with_overlay.jpg,marker,NA,POINT (130.717639 -25.356742),2-5 Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,27.5,0,-999,20220807_153842_GS010327,plot_06_new,20220807_153842_GS010327_Frame_000610
Scorer_2,##------ Thu Jun  8 13:38:19 2023 ------##,pin_49,20220807_152153_GS010326_Frame_000458_with_overlay.jpg,marker,NA,POINT (130.722918 -25.353693),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,72.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000458
Scorer_2,##------ Thu Jun  8 14:34:00 2023 ------##,pin_58,20220807_152153_GS010326_Frame_000673_with_overlay.jpg,marker,NA,POINT (130.721818 -25.355995),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,87.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000673
Scorer_2,##------ Thu Jun  8 14:34:58 2023 ------##,id_15,20220807_152153_GS010326_Frame_000722_with_overlay.jpg,image_marker,NA,POINT (130.721488599961 -25.3564061000028),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,57.5,20220807_152153_GS010326,plot_06_new,20220807_152153_GS010326_Frame_000722
Scorer_2,##------ Thu Jun  8 14:52:05 2023 ------##,pin_63,20220807_153842_GS010327_Frame_000593_with_overlay.jpg,marker,NA,POINT (130.717473 -25.357062),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,72.5,20220807_153842_GS010327,plot_06_new,20220807_153842_GS010327_Frame_000593
Scorer_2,##------ Thu Jun  8 14:55:25 2023 ------##,pin_65,20220807_153842_GS010327_Frame_000610_with_overlay.jpg,marker,NA,POINT (130.717478 -25.356684),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,97.5,57.5,57.5,20220807_153842_GS010327,plot_06_new,20220807_153842_GS010327_Frame_000610
Scorer_2,##------ Thu Jun  8 15:14:25 2023 ------##,pin_73,20220807_153842_GS020327_Frame_000202_with_overlay.jpg,marker,NA,POINT (130.711824 -25.354003),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,87.5,20220807_153842_GS020327,plot_06_new,20220807_153842_GS020327_Frame_000202
Scorer_2,##------ Thu Jun  8 15:16:43 2023 ------##,pin_75,20220807_153842_GS020327_Frame_000249_with_overlay.jpg,marker,NA,POINT (130.712173 -25.353436),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,97.5,72.5,20220807_153842_GS020327,plot_06_new,20220807_153842_GS020327_Frame_000249
Scorer_2,##------ Tue Jun 13 15:29:56 2023 ------##,pin_119,20220807_145534_GS010325_Frame_000683_with_overlay.jpg,marker,NA,POINT (130.717719 -25.346814),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,72.5,20220807_145534_GS010325,plot_06_new,20220807_145534_GS010325_Frame_000683
Scorer_2,##------ Tue Jun 13 15:32:59 2023 ------##,pin_120,20220807_145534_GS010325_Frame_000797_with_overlay.jpg,marker,NA,POINT (130.71868 -25.347837),Allocasuarina decaisneana Early Mature (>6m V branches),Early_Mature,Tree,100,100,87.5,20220807_145534_GS010325,plot_06_new,20220807_145534_GS010325_Frame_000797
